mu_B [MeV],Energy Density [MeV/fm^3],Pressure [MeV/fm^3]
1311,294.8874031167508,93.7787593317495
1312,295.3955305741288,94.15511681752555
1313,295.9038056911501,94.53197793793525
1314,296.4122298686494,94.9093424069166
1315,296.9208044977284,95.28720994033449
1316,297.4295309598462,95.66558025596485
1317,297.93841062690973,96.04445307347875
1318,298.44744486136176,96.42382811442607
1319,298.9566350162693,96.80370510222016
1320,299.4659824354098,97.18408376212247
1321,299.9754884533571,97.56496382122695
1322,300.48515439556616,97.94634500844508
1323,300.9949815784569,98.32822705449074
1324,301.5049713094965,98.7106096918655
1325,302.01512488728184,99.09349265484347
1326,302.5254436016198,99.47687567945756
1327,303.0359287336083,99.86075850348443
1328,303.54658155571343,100.2451408664301
1329,304.05740333184997,100.63002250951678
1330,304.56839531745675,101.0154031756679
1331,305.0795587595741,101.40128260949474
1332,305.59089489691917,101.78766055728282
1333,306.10240495996027,102.17453676697816
1334,306.61409017099123,102.56191098817402
1335,307.12595174420403,102.94978297209757
1336,307.63799088576167,103.33815247159697
1337,308.15020879386844,103.72701924112786
1338,308.66260665884164,104.11638303674113
1339,309.17518566318074,104.5062436160699
1340,309.68794698163697,104.89660073831648
1341,310.2008917812811,105.28745416424069
1342,310.71402122157116,105.67880365614731
1343,311.2273364544192,106.07064897787305
1344,311.740838624258,106.46298989477556
1345,312.25452886810507,106.85582617372062
1346,312.7684083156287,107.24915758307093
1347,313.282478089211,107.64298389267366
1348,313.79673930401106,108.03730487384918
1349,314.3111930680287,108.43212029937966
1350,314.8258404821643,108.82742994349745
1351,315.3406826402823,109.22323358187386
1352,315.85572062926985,109.61953099160768
1353,316.3709555290977,110.01632195121482
1354,316.8863884128793,110.41360624061649
1355,317.40202034692913,110.81138364112894
1356,317.91785239082094,111.20965393545235
1357,318.4338855974451,111.60841690766047
1358,318.95012101306526,112.00767234318955
1359,319.4665596773747,112.4074200288287
1360,319.9832026235515,112.80765975270859
1361,320.5000508783139,113.20839130429218
1362,321.0171054619747,113.6096144743637
1363,321.5343673884947,114.01132905501892
1364,322.0518376655363,114.41353483965571
1365,322.56951729460377,114.81623162267343
1366,323.0874072707693,115.21941920061813
1367,323.60550858317606,115.62309737044903
1368,324.12382221452265,116.02726593095656
1369,324.6423491423213,116.43192468133357
1370,325.1610903372606,116.83707342286463
1371,325.6800467643588,117.24271195778744
1372,326.19921938274217,117.64884008956503
1373,326.7186091456931,118.05545762287608
1374,327.23821700069914,118.4625643636068
1375,327.7580438894996,118.87016011884106
1376,328.2780907481327,119.27824469685196
1377,328.7983585069822,119.68681790709297
1378,329.3188480908234,120.095879560189
1379,329.8395604188691,120.50542946792825
1380,330.36049640481383,120.91546744325295
1381,330.8816569573731,121.32599329996174
1382,331.40304297836434,121.73700685386007
1383,331.9246553656767,122.14850792101255
1384,332.4464950113765,122.56049631889489
1385,332.96856280223074,122.97297186609524
1386,333.4908596197502,123.38593438230656
1387,334.01338634023153,123.79938368831837
1388,334.53614383479805,124.21331960600826
1389,335.05913296944186,124.62774195833514
1390,335.5823546050642,125.04265056933038
1391,336.1058095975158,125.45804526409017
1392,336.6294987976372,125.87392586876884
1393,337.1534230512979,126.29029221056987
1394,337.6775831994358,126.70714411773925
1395,338.20198007809586,127.12448141955768
1396,338.72661451846886,127.54230394633313
1397,339.25148734692925,127.96061152939383
1398,339.7765993850723,128.3794040010806
1399,340.30195144975266,128.79868119473954
1400,340.82754435312006,129.21844294471555
1401,341.35337890265635,129.63868908634444
1402,341.8794559012122,130.05941945594643
1403,342.40577614704233,130.4806338908191
1404,342.9323404338411,130.9023322292303
1405,343.4591495507783,131.32451431041133
1406,343.9862042825334,131.74717997455062
